GDP_In_Billion_USD,Per_Capita_in_USD,Percentage_Growth 
3173.4,2277,8.95
2667.69,1933,-6.6
2831.55,2072,3.74
2702.93,1998,6.45
2651.47,1981,6.8
2294.8,1733,8.26
2103.59,1606,8
2039.13,1574,7.41
1856.72,1450,6.39
1827.64,1444,5.46
1823.05,1458,5.24
1675.62,1358,8.5
1341.89,1102,7.86
1198.9,999,3.09
1216.74,1028,7.66
940.26,807,8.06
820.38,715,7.92
709.15,628,7.92
607.7,547,7.86
514.94,471,3.8
485.44,452,4.82
468.39,443,3.84
458.82,442,8.85
421.35,413,6.18
415.87,415,4.05
392.9,400,7.55
360.28,374,7.57
327.28,346,6.66
279.3,301,4.75
288.21,317,5.48
270.11,303,1.06
320.98,368,5.53
296.04,346,5.95
296.59,354,9.63
279.03,340,3.97
248.99,310,4.78
232.51,296,5.25
212.16,277,3.82
218.26,291,7.29
200.72,274,3.48
193.49,270,6.01
186.33,267,6.74
152.99,224,-5.24
137.3,206,5.71
121.49,186,7.25
102.72,161,1.66
98.47,158,9.15
99.53,163,1.19
85.52,144,3.3
71.46,123,-0.55
67.35,119,1.64
62.42,112,5.16
58.45,108,6.54
53.09,100,3.39
50.13,96,7.83
45.87,90,-0.06
59.55,119,-2.64
56.48,116,7.45
48.42,101,5.99
42.16,90,2.93
39.23,85,3.72
