followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
87,270,0,0,0
7432,854,0,0,0
26,77,0,0,0
56,251,0,0,0
52,154,0,0,0
486,293,0,0,0
17,28,0,0,0
587,1404,0,0,0
952549,1283,1,1,0
52,121,0,0,0
1069,3170,0,0,1
937,1423,1,0,0
6684,1234,0,0,0
1321,4998,4,0,1
23,67,0,0,0
2225,1866,2,0,1
3,27,0,0,0
361,668,1,0,1
19,213,0,0,0
21,162,0,0,0
1617,2032,5,2,1
10,142,0,0,0
1059,3302,0,0,0
678,2528,0,0,0
651,1100,2,0,1
90,215,0,0,0
3,41,0,0,0
34,109,0,0,0
81,251,0,0,1
153,345,0,0,0
88,233,0,0,0
129,389,0,0,0
108810,1128,11,5,7
58,124,0,0,0
554,1358,3,0,0
27,119,1,0,1
182,279,0,0,0
14926,15765,0,0,0
39,442,0,0,0
12182,7040,0,0,0
9496,1156,0,0,0
1378,3325,0,0,0
4516,3753,2,0,1
309,1635,0,0,0
35,33,1,0,1
494,586,0,0,1
3,0,0,0,0
370,106,0,0,0
1619,1589,0,0,0
11,21,1,0,0
33,238,0,0,1
2079,3541,0,0,0
220,22,2,0,0
1493,948,0,0,1
1060,513,0,0,0
2,46,0,0,0
3848,4695,0,0,1
526,538,0,0,0
312,253,5,0,2
7,169,0,0,0
5206,5421,1,2,0
3,135,0,0,0
26,33,0,0,0
171,1310,0,0,0
287,567,1,0,1
1356,1779,0,0,0
3800,2316,6,0,2
31,37,0,0,0
18,365,0,0,0
5951,1011,6,1,0
3814,1055,6,0,0
90,1612,1,0,1
2264,5005,0,0,0
7,54,0,0,0
141,1323,0,0,0
18,88,1,0,0
397,565,0,0,1
50,2,0,0,0
4180,4054,0,0,0
35,65,0,0,0
650,1420,2,1,0
312,687,0,0,0
1770,1141,0,0,2
120,240,0,0,0
72,211,0,0,1
23,115,0,0,0
77,760,0,0,0
43,46,0,0,0
1823,3295,0,0,0
183,109,0,0,1
2499,2208,0,0,0
2580,2370,0,0,0
11,34,0,0,0
81336,51848,0,1,1
1319,375,3,0,1
125,136,1,0,0
0,14,0,0,0
167,502,1,1,0
10,10,0,0,3
7135,7533,1,0,2
190,477,0,0,1
4626,2902,0,0,1
11,192,1,0,0
65,381,0,0,0
1316,1926,0,0,0
209,2044,0,0,1
940,33,0,0,0
4,16,0,0,0
8,29,0,0,0
80,251,0,0,1
3355,3591,11,1,1
3207,2651,2,0,0
360,378,0,0,1
310,340,0,0,0
463,977,1,0,0
1722,3147,0,0,0
192,721,2,0,0
123,154,1,0,1
195,104,0,0,0
7882,498,2,7,2
158,216,0,0,1
52,73,0,0,0
271,513,0,0,0
780,580,0,0,1
92,386,0,0,0
32,34,0,0,1
275,477,0,0,0
2375,4758,0,0,0
2472,823,9,1,0
985,718,0,0,1
230,435,0,0,1
227,581,0,0,0
8,1,0,0,0
3,11,1,0,0
1122,154,0,0,0
9093,304,0,0,0
1493,948,1,0,1
862,3990,0,0,0
1837,2187,1,0,0
670,389,0,0,0
71,183,2,0,1
0,0,0,0,0
73,116,1,0,1
352,786,0,0,0
358,317,0,0,0
28,68,0,0,0
2157,489,0,0,0
511,684,0,0,0
1915,738,0,0,1
7,9,0,0,0
1158,2080,0,0,0
194,195,0,0,1
122,137,0,0,0
2735,4240,5,1,0
152,49,3,0,0
1228,1392,1,0,0
3978,5005,0,0,0
827,1373,0,0,0
2643,2559,2,0,0
1350,654,3,0,1
6,3,0,0,0
117,650,0,0,0
38,49,1,0,1
86,229,1,0,0
4626,2902,0,0,1
32,58,0,0,0
1478,1764,1,0,1
179,355,2,0,0
6,3,0,0,0
147,561,0,0,0
238,581,0,0,0
2669,1389,4,0,0
5412,5830,0,0,0
6,3,0,0,1
2551,2824,0,0,1
1044,1814,0,0,0
1746,3306,0,0,0
29,255,0,0,0
886,1093,0,0,2
16,168,0,0,1
1311,1685,0,0,1
86724,3317,9,6,0
22,86,0,0,0
5,35,0,0,0
606,1455,0,0,0
10193,9497,10,0,1
152,123,1,0,1
631,426,1,0,0
185,304,0,0,0
1770,1141,1,0,1
13,264,1,0,0
333,611,0,0,0
3410,1457,37,8,1
643,1415,0,0,0
272,354,0,0,0
2547,2464,6,1,0
734,609,3,0,1
2551,2824,1,0,0
1159,1414,6,0,1
1249,3829,8,3,1
827,1170,1,0,0
0,27,1,0,1
702,443,17,0,4
879,1521,0,0,0
133,976,0,0,1
13,20,0,0,0
299,89,0,0,0
3325,4583,0,0,0
25,51,0,0,0
500,486,0,0,0
21,165,0,0,1
151,689,0,0,0
178,97,0,0,0
975,925,1,0,1
61,68,0,0,0
733,1494,0,0,0
418,1847,3,0,0
2446,1301,0,0,0
648,2623,0,0,0
2812,411,0,0,0
810,1354,13,2,2
500,1294,0,0,0
13,228,0,0,0
758,1820,1,0,1
1262,1944,0,0,0
0,5,0,0,0
98,330,1,0,0
76,273,0,0,0
1,109,0,0,0
1414,1136,0,0,1
9528,9492,9,1,1
15,43,0,0,0
2236,2219,0,0,0
737,195,1,0,0
840,1106,0,0,0
99,520,0,0,0
1430269,207,8,0,0
30,66,0,1,0
26,34,0,0,0
1030,5002,1,0,1
21,165,0,0,0
66,74,0,0,0
722,1236,0,0,0
915,1506,0,0,0
2446,967,7,0,0
1447,1930,7,0,2
8,155,0,0,0
2998,3535,0,0,0
4,28,0,0,0
54,121,0,0,0
170,370,0,0,0
1400,1278,0,0,0
2,33,0,0,1
72,735,0,0,1
117,17,2,2,0
547,189,0,0,0
18,84,0,0,0
65,365,0,0,1
6912,4380,3,0,0
40,172,0,0,0
2054,4996,0,0,0
254,175,0,0,0
1,240,0,0,0
0,29,0,0,0
127,157,1,0,0
24,43,1,0,0
31,81,0,0,0
1041,526,1,0,1
212,350,0,0,1
1053,1209,1,0,0
1041,526,0,0,0
28,126,0,0,0
104,589,0,0,0
1452,1867,4,0,1
4,66,0,0,0
15,1,0,0,0
6899,4998,7,0,3
466,2711,0,0,0
555,918,1,0,0
1,6,0,0,0
207,125,2,0,0
212,439,0,0,0
34,113,0,0,0
648,368,0,0,1
911,1591,0,0,0
1840,488,1,0,1
85,392,1,0,0
0,2,0,0,0
336,529,7,1,0
483,1870,3,0,0
65,365,0,0,0
1856,1866,8,0,1
830,987,2,0,1
393,895,1,0,0
505,1368,0,0,0
387,989,0,0,0
1483,894,0,0,1
223,599,0,0,0
322,715,0,0,1
530,314,1,0,0
754,1132,0,0,1
352,1010,0,0,2
310,325,17,1,0
24,56,0,0,0
2796,1416,0,0,1
1413,2431,0,0,0
10593,2353,4,0,0
705,254,0,0,0
643,1415,0,0,0
330,1622,0,0,0
0,2,0,0,1
3412,2185,1,0,0
4,31,0,0,0
3843,3908,1,0,1
85,159,1,0,2
250,1246,1,0,0
447,250,0,0,0
391,351,4,0,0
77,225,3,0,1
530,314,0,0,0
70,335,0,0,0
401,1421,3,0,0
16366,16524,0,0,2
44,63,0,0,0
1894,3644,1,0,1
313,403,1,0,0
1931,3676,1,0,0
225,336,0,0,1
2638,5002,0,0,0
1687,784,1,0,1
8186,1818,11,0,0
14926,15765,3,2,1
61,166,1,0,0
33,107,0,0,0
49,907,0,0,0
2375,4758,0,0,0
842,1643,0,0,1
1,1,0,0,0
263,951,0,0,0
56,86,0,0,0
497,1038,0,0,1
333,438,0,0,0
643,286,13,0,0
1,62,0,0,0
2792,1593,6,0,0
173,455,16,4,0
145,181,0,0,0
951,3781,1,0,0
516,2151,2,1,0
126,226,0,0,0
26,117,0,0,0
1,31,0,0,0
411,366,0,0,0
329,723,13,4,0
1,29,3,1,0
989,869,0,0,2
49,179,0,0,0
2084,2692,2,0,0
218,75,9,4,1
3900,4976,0,0,0
513,1365,0,0,0
62,2737,0,0,0
29,884,0,0,0
21,153,0,0,0
177,152,0,0,0
1279,671,0,0,1
66,64,0,0,0
334,230,0,0,0
29,86,0,0,0
953,1299,1,0,1
369,197,2,0,0
1301,811,0,0,0
22,36,0,0,0
764,2689,0,0,0
46,147,0,0,0
548,391,7,0,0
192,837,0,0,0
2486,4992,1,0,0
3,15,0,0,0
3191,3665,0,0,0
600,363,0,0,0
3461,3239,2,1,0
29,194,0,0,0
474,895,0,0,0
94,141,0,0,0
112,378,0,0,0
400,188,0,0,0
236,715,6,0,1
269,79,2,0,0
26030,5297,5,0,1
165,107,0,0,0
1093,498,0,0,1
9,15,1,0,0
90,220,1,0,0
2065,1994,14,0,0
37,514,0,0,0
197,1060,0,0,0
2805,1721,3,1,0
2016,807,4,0,0
0,0,0,0,0
11152,3014,25,11,3
135,58,1,0,1
1108,5001,0,0,0
1651,349,0,0,1
15,1,0,0,0
798,302,0,0,1
34,182,0,0,0
170,602,19,0,0
15,17,0,0,0
90,323,0,0,0
435,813,1,0,1
619,361,1,0,0
1361,458,21,1,1
1227,1885,0,0,0
388,314,8,2,1
642,379,1,0,0
907,1934,1,0,0
17,19,1,0,0
200,560,2,0,0
1291,2438,15,4,4
35,271,2,0,0
366,308,0,0,0
2388,379,2,0,0
30,65,0,0,0
533,1401,0,0,0
13688,12559,2,2,1
357,701,0,0,0
2579,3936,0,0,0
1049,904,1,0,1
870,2011,0,0,0
1400,1278,0,0,0
14140,5128,3,0,1
14140,5128,2,0,1
126,583,1,0,0
1295,91,0,0,0
34,182,0,0,0
1266,258,0,0,1
482,634,0,0,0
298,1156,0,0,0
24,205,0,0,0
121,560,0,0,0
446,306,0,0,0
24,490,0,0,0
1047,2477,0,0,0
378,100,0,0,2
1260,3780,0,1,0
759,793,1,0,0
0,0,0,0,0
5350,2298,4,0,0
343,670,0,0,1
1604,682,1,0,0
12,55,0,1,1
20,159,0,0,0
232,394,0,0,1
773,327,0,0,0
4958,1888,0,0,0
609,290,2,0,0
