Dengue_Cases,Dengue_Deaths
705,1
374,0
276,0
240,2
243,1
345,1
1295,2
1598,3
1415,3
1000,6
555,1
235,1
285,0
202,2
151,1
174,1
179,0
362,2
1032,2
1609,1
1333,3
1159,5
865,3
885,3
699,6
448,3
235,1
325,0
334,0
721,4
3374,13
3266,10
2221,8
1081,1
1285,1
1522,6
596,2
633,1
399,0
183,1
197,1
743,3
2587,9
4178,11
4814,9
2585,3
2133,2
819,0
424,1
442,2
352,5
46,2
87,0
186,2
452,2
1030,0
1052,2
807,1
1212,0
1081,1
659,2
408,2
211,0
138,0
126,0
126,1
390,1
754,0
552,1
292,3
181,1
54,0
265,1
112,1
130,0
112,2
129,1
260,0
639,1
819,7
668,3
990,12
678,4
508,2
418,2
267,0
234,2
238,1
276,0
573,3
1516,4
2518,6
3698,12
2921,10
2522,5
2497,17
1797,18
2136,3
1355,2
429,2
486,3
1171,3
1922,15
2446,12
2152,11
1202,3
957,5
581,0
324,4
436,0
117,0
18,0
17,0
30,0
54,0
108,2
109,1
158,2
161,0
96,0
1976,3
1748,5
883,3
549,0
365,0
363,0
1701,5
2877,8
3194,12
3155,11
2207,13
1971,5
2301,6
1264,9
1006,3
644,3
430,2
756,2
3263,6
4764,18
3263,9
2811,6
2310,7
2388,10
2497,5
1829,4
1237,3
724,1
695,2
1174,5
4576,19
5581,18
5026,12
3302,5
2859,7
2226,4
1813,4
1840,5
1230,3
460,1
428,1
1371,4
2228,18
6593,17
9713,121
5682,5
3003,4
2797,11
2859,6
3091,14
1404,4
207,0
201,0
280,3
698,12
1272,3
1073,3
1013,5
1731,1
2162,6
2993,14
2035,5
1327,9
838,1
714,1
778,4
2270,6
3218,2
3454,28
3175,20
2023,10
1457,8
1764,14
1243,5
927,2
647,0
435,1
815,5
2727,5
3121,17
2520,6
2759,20
2635,21
2828,14
2457,17
1975,9
1494,10
946,10
675,4
991,2
2793,17
3756,18
4697,31
3914,18
3575,16
3137,5
2157,6
3252,14
2252,13
892,3
909,9
2531,8
6365,21
15047,39
21658,48
10365,37
5899,23
4868,21
3175,11
2581,3
1504,6
151,0
77,1
105,0
212,0
291,1
231,4
325,2
542,3
527,4
203,1
219,0
211,1
181,2
203,5
263,0
735,2
778,3
469,2
388,1
214,1
135,0
243,0
255,0
147,0
69,1
94,0
232,0
393,1
412,1
286,2
247,5
203,1
189,1
214,1
277,2
203,2
198,2
238,1
471,2
1650,6
1489,17
1582,12
637,3
470,1
590,2
435,3
710,2
799,2
364,2
248,0
941,1
1628,2
2125,4
1995,4
710,4
616,2
413,0
320,0
607,2
537,2
77,0
111,0
196,0
467,0
1048,3
694,1
438,2
390,13
192,0
237,0
161,0
118,2
94,1
96,0
106,0
248,2
346,1
378,7
319,3
242,0
187,0
232,1
178,1
111,0
130,1
66,1
163,1
373,1
435,2
367,2
508,5
323,6
339,3
297,3
168,2
157,0
173,1
136,1
235,7
408,3
355,3
397,6
320,3
355,3
547,4
342,2
387,9
436,7
223,2
205,3
547,9
1371,10
2281,12
2846,16
1292,7
648,4
563,7
404,2
394,3
335,5
86,3
74,0
55,1
47,1
83,4
60,0
53,0
61,1
69,1
971,1
674,2
596,1
560,1
782,3
1137,4
4993,17
7155,22
5039,16
2562,12
1058,5
643,3
727,5
454,5
336,2
310,6
346,3
630,5
1577,12
2291,10
686,648
488,668
627,8
811,8
755,3
574,3
456,6
487,5
545,2
1017,13
2701,15
2639,16
2846,21
1903,9
1724,9
1935,7
1426,10
2003,8
2262,19
1199,7
1386,9
4859,31
13564,48
18090,54
9048,32
3475,8
1881,4
1164,3
660,0
784,1
630,2
167,0
138,1
272,1
388,2
473,4
169,2
115,1
197,2
138,0
1690,10
1175,7
1220,5
984,15
916,7
756,8
2473,20
4424,32
4458,31
4531,46
3771,36
2997,26
2750,28
1598,15
1058,11
750,16
537,3
718,6
1234,9
2647,10
2570,492
421,584
691,6
966,9
659,4
567,1
478,7
402,1
328,5
636,3
1539,6
2417,12
2830,5
3185,32
4123,29
4725,26
2461,17
2815,13
1831,9
