fixture,opponent_team,total_points,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,23970,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-5169,24193,1361,6530
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4337,20960,879,5216
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2988,18825,577,3565
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1611,17790,405,2016
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-1207,17133,516,1723
4,12,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,116351,0,0
20,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-7183,129089,5642,12825
24,4,2,3,2,3,90,0,0,0,2,0,0,0,0,0,3,0,15,25.8,0,0,2.6,45,-13340,121123,3510,16850
31,1,3,2,1,4,90,0,0,0,2,0,0,0,0,0,6,0,22,46.8,0,0,4.7,45,-5667,120315,2998,8665
44,5,2,2,1,5,90,0,0,0,1,0,0,0,0,0,2,0,13,19,10,0,2.9,45,4041,130735,10100,6059
59,18,3,2,1,6,90,0,0,0,2,0,0,0,0,0,8,0,25,57.6,0,0,5.8,45,-229,135461,9179,9408
1,7,2,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15,2,3.4,50,0,48303,0,0
11,10,12,4,2,2,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28,10.8,50,-629,65418,9001,9630
21,3,6,0,3,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34,6,6.6,50,112040,216726,137326,25286
31,9,2,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25,12,4.5,50,42760,267951,77459,34699
41,2,2,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25,8,4.6,50,10781,288460,49435,38654
56,14,2,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46,7.6,50,8776,308627,50721,41945
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,86132,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-12599,87552,5829,18428
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21882,131934,57920,36038
31,9,2,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,15,4.2,3.8,0,0.8,44,-18950,115883,14683,33633
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-9174,110818,10920,20094
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-25515,85016,941,26456
1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,14331,0,0
11,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2978,14520,631,3609
21,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2174,13295,683,2857
31,9,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,43,-1795,12198,363,2158
41,2,1,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0,0,0.2,43,-648,12085,461,1109
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-473,12112,556,1029
1,7,3,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10,4.6,50,0,39617,0,0
11,10,2,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,9,5.4,4.8,39,4.9,50,4047,61511,12745,8698
21,3,3,0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,3.8,0,1.7,50,-5523,61170,8704,14227
31,9,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-8910,54948,3409,12319
41,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-15298,40160,407,15705
56,14,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-9978,30613,131,10109
