Likes,Comments,Views
3407,672,135612
76779,4306,1758063
63825,3338,1564007
71566,1426,922918
96513,5155,1855644
33570,1643,943119
135047,9367,5937790
216935,12605,4782514
45565,2882,7001236
24252,1068,667767
118001,4123,2359142
20999,3091,413179
15322,547,389114
17866,157,444953
13217,442,371563
26890,4999,1633059
9562,199,760249
11743,143,1086568
146978,11105,3186890
363771,13609,11422924
2117,486,63650
42841,1357,1280387
23689,2842,530889
55231,2175,2122433
1289,183,35948
970,207,23175
1608,273,78520
1452,38,63599
35758,2056,1006704
8725,790,257848
110145,3289,2954979
12188,326,304037
59458,4159,1541386
3494,136,589007
36423,1902,1085076
941,221,25594
134194,6102,4098623
42075,1820,7188648
709,128,25745
78852,3926,1889567
32102,3243,786765
188623,7464,4195072
343227,20854,9618335
43960,1767,791624
77411,2098,2474364
24,45,3461
4492,169,274201
51846,2371,1156785
1029,2347,97434
534,538,57858
8526,3934,544884
588,887,69951
137,222,18531
848,1384,86855
827,1653,131012
1200,2841,54596
1167,180,235019
1573,2670,60528
1145,793,106127
474,1553,75301
82,26,17145
23828,47,500097
775,1517,127082
8484,2192,237313
7946,1559,905023
510,560,34715
129,7,10642
1288,3,172513
257,1,62189
612,18,60835
2385,1349,288722
6379,4853,808787
1009,451,127803
5630,1848,533947
686,18,56683
7277,1294,796750
695,121,159877
15854,5373,1465011
1030,10,187892
198,12,17763
7342,1531,932432
286,22,23135
2083,2195,164119
1728,665,212973
180,16,13976
1102,668,106690
1688,796,89985
8384,1307,176151
63825,3338,1564007
4163,618,133933
2925,121,99244
298406,15609,3773387
549,29,16307
2170,282,126228
1365,256,46436
3516,306,121644
2481,429,67444
2501,193,84565
82449,2673,2007038
1243,21,5967
48710,3417,552256
29966,471,205943
15842,1547,530763
3374,741,82874
8260,195,191777
1525,36,14877
468,164,10351
18208,44,228095
3171,5,19693
1204,135,27564
10556,466,66633
869,155,22860
13492,707,879645
358,23,2386
2677,485,65005
39872,187,246407
46642,1287,268946
674,93,5931
3495,202,226258
789,77,19223
3273,472,31837
4484,459,97946
2700,279,70186
238193,14706,7132206
71905,6315,2381931
9574,537,87891
1215,100,64958
11797,519,364725
2750,116,208701
563,85,14537
39944,1677,5093587
19987,2358,1335282
275577,5431,15040548
62969,9809,4288833
12785,489,1945140
778342,20737,57369066
56480,2515,12272628
23668,2290,1499121
102369,10191,16099483
60821,2638,12867358
355223,6889,11181957
7866,550,619006
84728,1451,10909239
6920,640,665643
22479,299,2020370
6568,591,592998
127971,3938,20647398
11805,1116,961317
601464,23466,27922929
241605,6650,31518906
39999,6387,5683239
33316,1335,7795119
14899,637,1836457
25347,385,9444655
11898,1330,901368
1096,178,106597
6325,391,573655
867074,43024,106014469
6946,481,647117
51562,8289,4282206
31796,555,6134948
46,6,2219
149084,3901,4820297
191,35,27378
38,1,4114
32772,4597,1194578
2584,57,1051751
15,1,867
132236,3715,15110047
3991,820,269716
2192,144,230945
54006,3508,2699810
14293,2114,577426
1121,91,65057
1941,401,83228
15872,156,4290144
2807,194,203084
22288,451,11666184
10119,664,891548
135155,11354,2361410
14408,864,275924
315980,6186,13176819
44809,660,1341953
22532,198,443909
295514,5266,8378324
1165120,40435,44943014
136929,3323,5249373
2048,193,58330
169217,2295,7370713
56460,2118,3745331
78076,1822,2947659
28603,1300,855958
910553,81975,52061447
49642,1589,3750968
338470,9618,14322764
46638,2210,1902823
80596,2415,1606273
554,60,15329
723998,14759,31858250
665269,25869,36467409
70465,17616,10097646
600,55,10671
32092,181,425850
347137,7750,13590001
150521,5653,4584546
6773,595,111581
515,184,11848
29551,1213,513997
262633,5960,47276202
99816,4641,8620346
46254,669,2144508
31042,899,698519
45027,1140,5578536
207617,8534,4382539
8227,314,153395
55233,5097,742272
2992,246,110066
4852,218,76373
26024,1165,662992
12124,1188,638770
61089,2899,2943450
62375,2417,1687552
21286,731,705942
421608,17009,5992730
63,20,3311
339758,32718,29905105
866,48,42948
1706185,25334,208293677
385847,4381,54244089
79281,1683,9090985
24029,422,1820413
9178,111,933111
21367,467,2822656
43643,1336,5750667
6028,697,533712
229141,7461,28325416
