MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM
8,24.3,0,3.4,6.3,30,6,20,68,29,1019.7,1015,7,7,14.4,23.6,3.6
14,26.9,3.6,4.4,9.7,39,4,17,80,36,1012.4,1008.4,5,3,17.5,25.7,3.6
13.7,23.4,3.6,5.8,3.3,85,6,6,82,69,1009.5,1007.2,8,7,15.4,20.2,39.8
13.3,15.5,39.8,7.2,9.1,54,30,24,62,56,1005.5,1007,2,7,13.5,14.1,2.8
7.6,16.1,2.8,5.6,10.6,50,20,28,68,49,1018.3,1018.5,7,7,11.1,15.4,0
6.2,16.9,0,5.8,8.2,44,20,24,70,57,1023.8,1021.7,7,5,10.9,14.8,0.2
6.1,18.2,0.2,4.2,8.4,43,19,26,63,47,1024.6,1022.2,4,6,12.4,17.3,0
8.3,17,0,5.6,4.6,41,11,24,65,57,1026.2,1024.2,6,7,12.1,15.5,0
8.8,19.5,0,4,4.1,48,19,17,70,48,1026.1,1022.7,7,7,14.1,18.9,16.2
8.4,22.8,16.2,5.4,7.7,31,7,6,82,32,1024.1,1020.7,7,1,13.3,21.7,0
9.1,25.2,0,4.2,11.9,30,6,9,74,34,1024.4,1021.1,1,2,14.6,24,0.2
8.5,27.3,0.2,7.2,12.5,41,2,15,54,35,1023.8,1019.9,0,3,16.8,26,0
10.1,27.9,0,7.2,13,30,6,7,62,29,1022,1017.1,0,1,17,27.1,0
12.1,30.9,0,6.2,12.4,44,7,20,67,20,1017.3,1013.1,1,4,19.7,30.7,0
10.1,31.2,0,8.8,13.1,41,6,20,45,16,1018.2,1013.7,0,1,18.7,30.4,0
12.4,32.1,0,8.4,11.1,46,7,9,70,22,1017.9,1012.8,0,3,19.1,30.7,0
13.8,31.2,0,7.2,8.4,44,6,19,72,23,1014.4,1009.8,7,6,20.2,29.8,1.2
11.7,30,1.2,7.2,10.1,52,6,11,59,26,1016.4,1013,1,5,20.1,28.6,0.6
12.4,32.3,0.6,7.4,13,39,4,17,60,25,1017.1,1013.3,1,3,20.2,31.2,0
15.6,33.4,0,8,10.4,33,2,13,61,27,1018.5,1013.7,0,1,22.8,32,0
15.3,33.4,0,8.8,9.5,59,2,31,60,26,1012.4,1006.5,1,5,22.2,32.8,0.4
16.4,19.4,0.4,9.2,0,26,6,11,88,72,1010.7,1008.9,8,8,16.5,18.3,25.8
12.8,18.5,25.8,2.8,0.6,28,13,13,91,79,1014,1014.9,8,8,14,16.8,0.4
12,24.3,0.4,1.2,7.5,26,6,9,74,57,1020.7,1019.2,7,5,17.8,22.8,0
15.4,28.4,0,4.4,8.1,33,9,15,85,31,1022.4,1018.6,8,2,16.8,27.3,0
15.6,26.9,0,6.8,8.9,41,6,22,65,48,1019.7,1016.5,2,4,19.8,25.1,0.2
13.3,22.2,0.2,6.6,2.3,39,20,17,70,55,1021,1018.6,7,7,16.5,21.2,0
12.9,28,0,4.4,10.7,52,6,11,61,31,1019.2,1014.8,5,7,18.8,26.7,0
15.1,24.3,0,7,0.4,39,7,17,69,80,1019,1017.1,7,7,18.9,19.7,0.4
13.6,24.1,0.4,2.6,0.5,30,6,6,83,49,1017.2,1013.3,8,7,17.3,23.2,22.6
15.1,20.4,22.6,2.4,0.2,41,6,20,82,90,1015,1014.1,8,8,17,16.3,4.2
11.6,26.3,4.2,1.6,12,41,6,9,66,46,1013.9,1009.5,2,2,16.7,25.2,0.2
16.6,24.2,0.2,6.6,4.7,50,13,35,72,60,1007.9,1004.6,7,7,20.5,19.9,6.6
13.3,26.5,6.6,3.8,11.8,50,20,26,74,40,1007.3,1006.3,5,2,18.8,25.1,0
14.5,21.8,0,8.4,9.8,43,11,30,69,63,1015,1015.3,7,1,18.6,20.5,0
16.3,26.8,0,6,6.3,39,13,9,78,54,1018.8,1016.1,8,7,18.6,24.5,0
17.2,25.8,0,4.2,8.8,41,6,6,70,74,1014.5,1011.5,6,7,21.5,22.6,4
16.5,28.2,4,4.2,8.8,39,7,13,76,42,1014.8,1011.4,8,1,18,26.3,0
15,29.4,0,6.6,11.1,43,9,24,78,24,1010.8,1008.5,7,7,20.6,28.6,0
14.9,24.8,0,10.4,10,35,11,6,58,37,1011.7,1010.4,7,7,19.3,22.9,0.6
11.8,18.5,0.6,4.8,2.3,35,9,15,60,63,1018,1017.4,8,6,13.8,16.4,0
11.7,21.5,0,4.2,7.3,41,15,24,66,51,1021.1,1019.6,7,5,15.7,19.4,0
9.6,20.3,0,5,3.6,39,22,20,70,49,1021.9,1019.3,7,7,15.8,19.2,0
