price,usdprice
8,0.2545
5,0.159
13.5,0.4294
31,0.986
6.8,0.2163
6.2,0.1972
13.5,0.4294
30,0.9542
9,0.2863
13.75,0.4373
36,1.145
7,0.2226
13.2,0.4198
41,1.3041
4.5,0.1431
13.25,0.4214
31,0.986
7.5,0.2385
8,0.2545
13.8,0.4389
36,1.145
5,0.159
13.5,0.4294
33,1.0496
6.2,0.1972
7.5,0.2385
13,0.4135
37,1.1768
16,0.5089
41,1.3041
6.75,0.2147
13.4,0.4262
31,0.986
8,0.2545
5.2,0.1654
13.5,0.4294
30,0.9542
6.9,0.2195
6,0.1908
13.5,0.4294
39,1.2405
8.75,0.2783
13.75,0.4373
39,1.2405
4.6,0.1463
13.25,0.4214
31,0.986
8,0.2545
8,0.2545
13.8,0.4389
36,1.145
8,0.2545
14.5,0.4612
31,0.986
5,0.159
13.8,0.4389
33.5,1.0655
9,0.2863
5.25,0.167
13.4,0.4262
30,0.9542
7,0.2226
8,0.2545
13.4,0.4262
37,1.1768
7,0.2226
7.2,0.229
13.5,0.4294
38,1.2087
6.5,0.2072
13.5,0.4303
27,0.8607
8,0.255
5,0.1594
13.5,0.4303
30,0.9563
7.25,0.2311
6.5,0.2072
13.6,0.4335
31,0.9882
9,0.2869
14.5,0.4622
37.5,1.1954
6.5,0.2072
13.7,0.4367
8.2,0.2614
10,0.3188
14.2,0.4527
4,0.1275
14,0.4463
32,1.0201
8,0.255
8,0.255
14,0.4463
36,1.1476
7,0.2231
5,0.1594
14,0.4463
30,0.9563
5.2,0.1658
14.2,0.4527
33,1.052
9,0.2869
4.8,0.153
13.6,0.4335
29,0.9245
7,0.2231
7.5,0.2391
13.5,0.4303
36,1.1476
7,0.2231
7,0.2231
13.5,0.4303
36,1.1476
15,0.4782
38,1.2113
6,0.1913
5.25,0.1674
13.5,0.4303
28,0.8926
6.8,0.2168
13.4,0.4272
31,0.9882
8.5,0.271
5,0.1594
14.5,0.4622
31,0.9882
7.25,0.2311
6.5,0.2072
14.5,0.4622
32,1.0201
9,0.2869
15,0.4782
38,1.2113
6.5,0.2072
14.7,0.4686
42,1.3389
8.4,0.2678
15,0.4782
4,0.1275
14.75,0.4702
32,1.0201
8,0.255
8,0.255
17,0.5419
38,1.2113
7,0.2231
16,0.51
32,1.0201
9.5,0.3028
4.25,0.1355
14.25,0.4543
32,1.0201
7.25,0.2311
7.75,0.2471
14.7,0.4686
36,1.1476
7,0.2231
6.7,0.2136
15,0.4782
38,1.2113
6.8,0.2168
14.5,0.4622
32,1.0201
8.5,0.2709
5,0.1593
16.5,0.5258
31,0.9879
6.8,0.2167
6.4,0.204
15.5,0.4939
31,0.9879
9.25,0.2948
17,0.5417
40,1.2747
4,0.1275
16,0.5099
31,0.9879
4,0.1275
16,0.5099
31,0.9879
8,0.2549
8,0.2549
16,0.5099
38,1.211
9.75,0.3107
4.25,0.1354
17,0.5417
32,1.0198
7.25,0.231
7.5,0.239
14.9,0.4748
38,1.211
6.5,0.2071
6.5,0.2071
16,0.5099
38,1.211
16,0.5099
37,1.1791
6.9,0.2199
15,0.478
32,1.0198
7.4,0.2359
16.8,0.5355
28,0.8926
8.5,0.271
5,0.1594
16.5,0.526
32,1.0201
9.25,0.2949
17.5,0.5579
40,1.2751
3.8,0.1211
15.5,0.4941
33,1.052
10,0.3188
7.5,0.2391
16,0.51
32,1.0201
5.5,0.1753
5,0.1594
15.5,0.4941
35,1.1157
9.75,0.3108
4.5,0.1434
16,0.51
32,1.0201
7.5,0.2391
7,0.2231
14,0.4463
39,1.2432
6.8,0.2168
7,0.2231
15.1,0.4814
38,1.2113
16.5,0.526
37,1.1795
7.2,0.2295
14.4,0.4591
29,0.9245
8.5,0.271
5,0.1594
14,0.4463
32,1.0202
9.5,0.3029
14,0.4463
42,1.339
7.7,0.2455
6.8,0.2168
13.1,0.4176
41,1.3071
9.6,0.306
9,0.2869
14,0.4463
4,0.1275
13.25,0.4224
32.5,1.0361
8,0.255
6.5,0.2072
13.75,0.4384
32,1.0202
6,0.1913
5,0.1594
14.5,0.4623
36,1.1477
9.75,0.3108
4.5,0.1435
15.5,0.4941
32,1.0202
7.5,0.2391
7,0.2232
12.6,0.4017
39,1.2433
6.8,0.2168
6.5,0.2072
13,0.4144
38.5,1.2274
17.5,0.5579
39,1.2433
8.5,0.271
5.5,0.1753
15,0.4782
35,1.1158
7,0.2231
14.5,0.4622
31,0.988
8.5,0.2709
5,0.1594
15,0.4781
34,1.0837
7.6,0.2422
6,0.1912
14,0.4462
9.5,0.3028
16,0.51
42,1.3386
7.5,0.239
6.5,0.2072
13.6,0.4335
43,1.3705
9.2,0.2932
13.7,0.4367
4.1,0.1307
14.25,0.4542
33,1.0518
8.5,0.2709
8,0.255
14.8,0.4717
40,1.2749
7.7,0.2454
6,0.1912
16,0.51
36,1.1474
6.2,0.1976
5,0.1594
14,0.4462
37,1.1793
10,0.3187
4.5,0.1434
14.75,0.4701
33,1.0518
7.5,0.239
7,0.2231
13.25,0.4223
41,1.3068
6.8,0.2167
6.5,0.2072
14.25,0.4542
40,1.2749
17,0.5418
39,1.243
8.75,0.2789
5.5,0.1753
14.5,0.4622
36,1.1474
7.5,0.239
15.2,0.4845
31,0.988
8.5,0.2709
5.5,0.1753
16,0.51
34,1.0837
7.8,0.2486
6,0.1912
14.25,0.4542
34,1.0837
